"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Compensation of Employees" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees"
"  Furniture and related products",4543                   ,4529                   ,5094                   ,5352                   ,5336                   ,5627                   ,5184                   ,6177                   ,6245                   ,7080                   ,5044                   
"  Miscellaneous manufacturing",24543                  ,27051                  ,28960                  ,29488                  ,31135                  ,38999                  ,47806                  ,50086                  ,49025                  ,52503                  ,49691                  
"Wholesale trade",77592                  ,79005                  ,83186                  ,87064                  ,105054                 ,128975                 ,131642                 ,124455                 ,137618                 ,140397                 ,141646                 
"  Professional and commercial equipment and supplies",8304                   ,9296                   ,9636                   ,10544                  ,11494                  ,12594                  ,13479                  ,13855                  ,14398                  ,14210                  ,12257                  
"  Petroleum and petroleum products",2227                   ,2356                   ,2649                   ,2865                   ,2962                   ,2706                   ,3350                   ,3280                   ,8286                   ,8005                   ,7963                   
"  Drugs and druggists' sundries",8253                   ,9539                   ,10167                  ,7456                   ,20602                  ,23412                  ,24058                  ,11390                  ,12281                  ,12844                  ,12659                  
"  Other",58808                  ,57814                  ,60734                  ,66199                  ,69995                  ,90263                  ,90756                  ,95931                  ,102652                 ,105338                 ,108768                 
"Retail trade",122884                 ,123233                 ,128558                 ,131133                 ,136188                 ,172381                 ,179784                 ,192727                 ,193359                 ,198133                 ,198104                 
"  General merchandise stores",57455                  ,57804                  ,58751                  ,58643                  ,60244                  ,68461                  ,76719                  ,76633                  ,79751                  ,81173                  ,81390                  
"  Clothing and clothing accessories stores",12708                  ,14860                  ,15713                  ,16654                  ,17761                  ,22023                  ,21843                  ,23205                  ,23781                  ,24395                  ,26167                  
"  Other",52722                  ,50569                  ,54095                  ,55836                  ,58183                  ,81898                  ,81222                  ,92890                  ,89828                  ,92565                  ,90548                  
"Information",138367                 ,140022                 ,161504                 ,171784                 ,170242                 ,200378                 ,210037                 ,218577                 ,220352                 ,242507                 ,240520                 
"  Publishing industries",39615                  ,40119                  ,42181                  ,44129                  ,45122                  ,49807                  ,54043                  ,54698                  ,58151                  ,62911                  ,65319                  
"  Motion picture and sound recording industries",4487                   ,4680                   ,4662                   ,4467                   ,4283                   ,4220                   ,4215                   ,4429                   ,4842                   ,5769                   ,5478                   
"  Broadcasting (except internet) and telecommunications",66875                  ,69728                  ,85588                  ,88355                  ,86133                  ,98776                  ,100279                 ,97327                  ,93464                  ,99054                  ,93944                  
"    Broadcasting (except internet)",16434                  ,17862                  ,29631                  ,30949                  ,30599                  ,32835                  ,32581                  ,20910                  ,21836                  ,23167                  ,23423                  
"    Telecommunications",50441                  ,51866                  ,55956                  ,57406                  ,55534                  ,65940                  ,67698                  ,76417                  ,71628                  ,75887                  ,70520                  
"  Data processing, hosting, and related services",9052                   ,6501                   ,7096                   ,8850                   ,9816                   ,15621                  ,16355                  ,22152                  ,21782                  ,22354                  ,22180                  
"  Other information services",18338                  ,18994                  ,21978                  ,25983                  ,24888                  ,31954                  ,35145                  ,39971                  ,42113                  ,52419                  ,53599                  
"Finance and insurance",273073                 ,285274                 ,297039                 ,310242                 ,321377                 ,356401                 ,365262                 ,367713                 ,379914                 ,401430                 ,423595                 
"  Depository credit intermediation (banking)",113908                 ,114717                 ,118267                 ,122884                 ,124412                 ,119157                 ,121212                 ,119147                 ,122029                 ,125484                 ,131757                 
"  Finance, except depository institutions",79335                  ,86842                  ,92098                  ,95607                  ,101576                 ,123064                 ,122904                 ,123911                 ,133452                 ,143181                 ,152774                 
"  Insurance carriers and related activities",79831                  ,83714                  ,86675                  ,91750                  ,95389                  ,114180                 ,121145                 ,124655                 ,124433                 ,132764                 ,139064                 
"Professional, scientific, and technical services",122386                 ,124516                 ,127997                 ,133630                 ,131274                 ,170154                 ,174295                 ,174033                 ,175677                 ,191574                 ,207701                 
"  Architectural, engineering, and related services",20876                  ,20481                  ,20461                  ,20600                  ,17699                  ,19448                  ,21704                  ,21483                  ,20147                  ,25677                  ,25368                  
"  Computer systems design and related services",44201                  ,46334                  ,47741                  ,48823                  ,48384                  ,56183                  ,57903                  ,51595                  ,45953                  ,49628                  ,56397                  
"  Management, scientific, and technical consulting",9575                   ,8897                   ,7071                   ,7929                   ,8547                   ,18220                  ,20379                  ,20999                  ,29036                  ,30944                  ,32261                  
"  Advertising and related Services",8596                   ,9259                   ,10890                  ,11334                  ,12091                  ,13415                  ,12979                  ,15244                  ,12909                  ,13078                  ,13472                  
"  Other",39138                  ,39545                  ,41835                  ,44944                  ,44554                  ,62889                  ,61330                  ,64711                  ,67632                  ,72248                  ,80203                  
"Other industries",245686                 ,250499                 ,261882                 ,278741                 ,270601                 ,343305                 ,363307                 ,366570                 ,379328                 ,396774                 ,440385                 
"  Agriculture, forestry, fishing, and hunting",1839                   ,631                     ,1610                   ,1770                   ,2126                   ,2262                   ,3016                   ,2138                   ,2137                   ,1756                   ,2422                   
"  Construction",19028                  ,19462                  ,19906                  ,19865                  ,20945                  ,30974                  ,32120                  ,36306                  ,37261                  ,36516                  ,40050                  
"  Utilities",17278                  ,16453                  ,17376                  ,18776                  ,18411                  ,24088                  ,21703                  ,19554                  ,20273                  ,19325                  ,19677                  
"  Transportation and warehousing",67900                  ,68066                  ,71800                  ,87515                  ,79497                  ,105324                 ,104062                 ,107963                 ,111994                 ,122131                 ,125089                 
"  Real estate and rental and leasing",16013                  ,15846                  ,17532                  ,19912                  ,21437                  ,26587                  ,29126                  ,31942                  ,32750                  ,31472                  ,33730                  
"  Management of nonbank companies and enterprises",213                     ,181                     ,243                     ,280                     ,362                     ,1161                   ,851                     ,882                     ,809                     ,893                     ,1152                   
"  Administration, support, and waste management",48237                  ,55812                  ,57666                  ,51588                  ,50933                  ,55034                  ,58122                  ,54254                  ,57938                  ,60675                  ,66292                  
"  Health care and social assistance",23440                  ,24693                  ,24845                  ,29338                  ,26683                  ,41899                  ,58029                  ,57242                  ,57645                  ,61676                  ,85236                  
"  Accommodation and food services",32349                  ,30146                  ,30805                  ,30131                  ,31247                  ,36761                  ,39793                  ,38058                  ,38152                  ,40236                  ,42773                  
"  Miscellaneous services",19390                  ,19210                  ,20098                  ,19566                  ,18959                  ,19215                  ,16485                  ,18231                  ,20368                  ,22094                  ,23963                  
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"• The data appear on another line in this table."
"• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"• The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> A nonzero value that rounds to zero."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Source: U.S. Bureau of Economic Analysis"
"Data users should be aware that the increase in most U.S. MNE activities from 2013 to 2014 appears to largely reflect the improved coverage of these activities in the 2014 Benchmark Survey of U.S. Direct Investment Abroad.  For more information see <a href=""http://www.bea.gov/international/pdf/usdia_2014p/USDIA 14-P Coverage Improvements.pdf"">Improvements in Coverage.</a>"
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
