"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Capital Expenditures" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures"
"  Miscellaneous manufacturing",3691                   ,3355                   ,3649                   ,3805                   ,3618                   ,4724                   ,5036                   ,5947                   ,6635                   ,7645                   ,7249                   
"Wholesale trade",27939                  ,27502                  ,40005                  ,42570                  ,46939                  ,51744                  ,52395                  ,46595                  ,53520                  ,60332                  ,59446                  
"  Professional and commercial equipment and supplies",872                     ,977                     ,1299                   ,1273                   ,1044                   ,1200                   ,1242                   ,1506                   ,1333                   ,1546                   ,1192                   
"  Petroleum and petroleum products",5612                   ,5973                   ,7533                   ,7433                   ,7798                   ,3801                   ,8456                   ,7696                   ,16847                  ,16922                  ,14487                  
"  Drugs and druggists' sundries",935                     ,1042                   ,1173                   ,821                     ,1970                   ,3003                   ,3150                   ,1962                   ,1918                   ,2001                   ,2176                   
"  Other",20521                  ,19511                  ,30001                  ,33043                  ,36127                  ,43739                  ,39547                  ,35431                  ,33422                  ,39863                  ,41591                  
"Retail trade",19120                  ,19884                  ,23744                  ,28336                  ,32937                  ,40978                  ,44998                  ,44577                  ,48104                  ,48296                  ,45140                  
"  General merchandise stores",8138                   ,8494                   ,9842                   ,12148                  ,12182                  ,13678                  ,12807                  ,12886                  ,13820                  ,14716                  ,14533                  
"  Clothing and clothing accessories stores",2035                   ,2318                   ,2475                   ,3572                   ,4564                   ,4282                   ,4450                   ,4384                   ,4605                   ,4622                   ,3921                   
"  Other",8947                   ,9073                   ,11427                  ,12616                  ,16191                  ,23018                  ,27742                  ,27307                  ,29679                  ,28958                  ,26687                  
"Information",57556                  ,61537                  ,65498                  ,67072                  ,75105                  ,87981                  ,88366                  ,92932                  ,98689                  ,115526                 ,116553                 
"  Publishing industries",5199                   ,4124                   ,4411                   ,4916                   ,6213                   ,5990                   ,7335                   ,8846                   ,8128                   ,9226                   ,10653                  
"  Motion picture and sound recording industries",1031                   ,933                     ,777                     ,821                     ,747                     ,1384                   ,1305                   ,1403                   ,1885                   ,1657                   ,1551                   
"  Broadcasting (except internet) and telecommunications",47236                  ,49289                  ,52738                  ,53278                  ,56270                  ,64857                  ,63413                  ,66274                  ,66832                  ,67786                  ,68431                  
"    Broadcasting (except internet)",4021                   ,3720                   ,9237                   ,8952                   ,8682                   ,10305                  ,11659                  ,4035                   ,4627                   ,5826                   ,6668                   
"    Telecommunications",43216                  ,45569                  ,43501                  ,44327                  ,47588                  ,54552                  ,51754                  ,62239                  ,62205                  ,61960                  ,61763                  
"  Data processing, hosting, and related services",1235                   ,926                     ,1361                   ,1166                   ,1607                   ,2566                   ,2638                   ,2855                   ,2816                   ,2758                   ,2717                   
"  Other information services",2855                   ,6265                   ,6211                   ,6891                   ,10268                  ,13184                  ,13675                  ,13553                  ,19028                  ,34100                  ,33201                  
"Finance and insurance",41289                  ,37228                  ,46431                  ,45120                  ,49302                  ,56343                  ,60505                  ,63773                  ,62155                  ,67359                  ,71241                  
"  Depository credit intermediation (banking)",8625                   ,7907                   ,7496                   ,7728                   ,7909                   ,7145                   ,8251                   ,8628                   ,9951                   ,10685                  ,13731                  
"  Finance, except depository institutions",21094                  ,20394                  ,28462                  ,26332                  ,29187                  ,35121                  ,37955                  ,41318                  ,39093                  ,43106                  ,41766                  
"  Insurance carriers and related activities",11570                  ,8926                   ,10473                  ,11059                  ,12207                  ,14077                  ,14298                  ,13826                  ,13110                  ,13568                  ,15744                  
"Professional, scientific, and technical services",7793                   ,8956                   ,8905                   ,9533                   ,9616                   ,11807                  ,11483                  ,10854                  ,12371                  ,13212                  ,12405                  
"  Architectural, engineering, and related services",538                     ,828                     ,693                     ,866                     ,855                     ,769                     ,995                     ,1103                   ,1017                   ,1099                   ,1327                   
"  Computer systems design and related services",4092                   ,4690                   ,4750                   ,4884                   ,4805                   ,5418                   ,5519                   ,4496                   ,5124                   ,4977                   ,4661                   
"  Management, scientific, and technical consulting",336                     ,292                     ,293                     ,389                     ,426                     ,546                     ,1028                   ,924                     ,1013                   ,1134                   ,1114                   
"  Advertising and related Services",471                     ,530                     ,620                     ,832                     ,889                     ,1005                   ,1036                   ,1054                   ,1058                   ,1149                   ,972                     
"  Other",2356                   ,2617                   ,2550                   ,2561                   ,2641                   ,4068                   ,2905                   ,3278                   ,4159                   ,4851                   ,4332                   
"Other industries",92582                  ,92578                  ,103869                 ,114867                 ,111587                 ,152212                 ,152368                 ,149357                 ,148368                 ,156980                 ,168085                 
"  Agriculture, forestry, fishing, and hunting",198                     ,93                      ,334                     ,420                     ,567                     ,936                     ,1237                   ,1094                   ,1402                   ,1012                   ,1437                   
"  Construction",1116                   ,851                     ,1009                   ,1187                   ,1385                   ,5064                   ,4701                   ,3426                   ,3194                   ,3420                   ,4010                   
"  Utilities",31374                  ,31595                  ,36974                  ,40353                  ,35532                  ,48508                  ,45938                  ,47895                  ,49932                  ,50517                  ,56762                  
"  Transportation and warehousing",22900                  ,22435                  ,25690                  ,30563                  ,30930                  ,42198                  ,38553                  ,36536                  ,37542                  ,39884                  ,39428                  
"  Real estate and rental and leasing",22150                  ,22525                  ,24361                  ,27850                  ,28397                  ,33649                  ,39170                  ,36357                  ,33453                  ,34256                  ,36315                  
"  Management of nonbank companies and enterprises",268                     ,184                     ,81                      ,111                     ,254                     ,928                     ,626                     ,593                     ,583                     ,580                     ,503                     
"  Administration, support, and waste management",5243                   ,5730                   ,5640                   ,3068                   ,3721                   ,4801                   ,5970                   ,5919                   ,5791                   ,6328                   ,5902                   
"  Health care and social assistance",1578                   ,1894                   ,2343                   ,2526                   ,2713                   ,4870                   ,6073                   ,6550                   ,6359                   ,7256                   ,9145                   
"  Accommodation and food services",3519                   ,3114                   ,4136                   ,5439                   ,5439                   ,6739                   ,5984                   ,6322                   ,6357                   ,6733                   ,7573                   
"  Miscellaneous services",4234                   ,4155                   ,3300                   ,3350                   ,2649                   ,4518                   ,4116                   ,4665                   ,3755                   ,6994                   ,7010                   
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"• The data appear on another line in this table."
"• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"• The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> A nonzero value that rounds to zero."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Source: U.S. Bureau of Economic Analysis"
"Data users should be aware that the increase in most U.S. MNE activities from 2013 to 2014 appears to largely reflect the improved coverage of these activities in the 2014 Benchmark Survey of U.S. Direct Investment Abroad.  For more information see <a href=""http://www.bea.gov/international/pdf/usdia_2014p/USDIA 14-P Coverage Improvements.pdf"">Improvements in Coverage.</a>"
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
