"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Total Sales" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","Sales","Sales","Sales","Sales","Sales","Sales","Sales","Sales","Sales","Sales","Sales"
"  Miscellaneous manufacturing",87770                  ,99422                  ,108091                 ,107959                 ,111417                 ,147417                 ,145079                 ,172907                 ,168738                 ,180011                 ,175887                 
"Wholesale trade",1109793               ,1121755               ,1233878               ,1224817               ,1377875               ,1719546               ,1777996               ,1773426               ,2057761               ,2208413               ,2257480               
"  Professional and commercial equipment and supplies",66658                  ,76496                  ,81998                  ,83156                  ,86561                  ,106434                 ,107712                 ,116661                 ,122816                 ,135861                 ,122927                 
"  Petroleum and petroleum products",84292                  ,87558                  ,106475                 ,114985                 ,115283                 ,139742                 ,139552                 ,135174                 ,303487                 ,412740                 ,412107                 
"  Drugs and druggists' sundries",343987                 ,360579                 ,381470                 ,310378                 ,393415                 ,432151                 ,488000                 ,450617                 ,472570                 ,498702                 ,514210                 
"  Other",614856                 ,597122                 ,663935                 ,716298                 ,782617                 ,1041219               ,1042732               ,1070974               ,1158888               ,1161109               ,1208236               
"Retail trade",930573                 ,943361                 ,987966                 ,1032944               ,1116910               ,1466820               ,1468395               ,1605783               ,1653061               ,1742923               ,1813333               
"  General merchandise stores",471922                 ,485604                 ,500639                 ,515973                 ,519845                 ,550413                 ,578034                 ,586423                 ,618174                 ,645528                 ,666865                 
"  Clothing and clothing accessories stores",68840                  ,80536                  ,87288                  ,95168                  ,98974                  ,123814                 ,122617                 ,123149                 ,126924                 ,137441                 ,141625                 
"  Other",389811                 ,377221                 ,400039                 ,421803                 ,498090                 ,792593                 ,767744                 ,896212                 ,907963                 ,959955                 ,1004843               
"Information",708959                 ,741453                 ,812543                 ,912808                 ,946540                 ,1041298               ,1061424               ,1104961               ,1155188               ,1166230               ,1206269               
"  Publishing industries",131205                 ,137112                 ,149939                 ,158466                 ,163913                 ,175499                 ,178708                 ,183135                 ,189629                 ,206559                 ,211780                 
"  Motion picture and sound recording industries",37506                  ,38785                  ,38790                  ,39344                  ,36966                  ,26398                  ,27115                  ,28072                  ,30359                  ,31718                  ,31490                  
"  Broadcasting (except internet) and telecommunications",428413                 ,434456                 ,479955                 ,509690                 ,520551                 ,587128                 ,587837                 ,599985                 ,624323                 ,659512                 ,665048                 
"    Broadcasting (except internet)",106060                 ,111240                 ,167876                 ,175807                 ,174605                 ,191990                 ,198723                 ,131706                 ,140532                 ,146530                 ,149695                 
"    Telecommunications",322353                 ,323216                 ,312079                 ,333883                 ,345946                 ,395138                 ,389114                 ,468280                 ,483791                 ,512983                 ,515353                 
"  Data processing, hosting, and related services",48319                  ,62004                  ,64073                  ,112253                 ,125561                 ,137092                 ,139815                 ,146397                 ,154189                 ,70283                  ,68759                  
"  Other information services",63515                  ,69095                  ,79786                  ,93055                  ,99548                  ,115181                 ,127948                 ,147372                 ,156688                 ,198158                 ,229191                 
"Finance and insurance",1509372               ,1591294               ,1545821               ,1601301               ,1657054               ,1899838               ,1963780               ,2066192               ,2118203               ,2287171               ,2478716               
"  Depository credit intermediation (banking)",466971                 ,461775                 ,428581                 ,410338                 ,403769                 ,408956                 ,408414                 ,422721                 ,446617                 ,499717                 ,524461                 
"  Finance, except depository institutions",291898                 ,356820                 ,312044                 ,310004                 ,345914                 ,467364                 ,470746                 ,496336                 ,510398                 ,551809                 ,563567                 
"  Insurance carriers and related activities",750503                 ,772700                 ,805196                 ,880958                 ,907370                 ,1023517               ,1084621               ,1147135               ,1161188               ,1235645               ,1390688               
"Professional, scientific, and technical services",307770                 ,310092                 ,322684                 ,337392                 ,344196                 ,424321                 ,429144                 ,421409                 ,437132                 ,476703                 ,507970                 
"  Architectural, engineering, and related services",54763                  ,49506                  ,48308                  ,49954                  ,43718                  ,47590                  ,56463                  ,57777                  ,53120                  ,68468                  ,70591                  
"  Computer systems design and related services",115677                 ,121073                 ,129452                 ,133571                 ,142027                 ,150186                 ,142857                 ,127893                 ,121489                 ,127899                 ,137277                 
"  Management, scientific, and technical consulting",15977                  ,15665                  ,13002                  ,14601                  ,15283                  ,33751                  ,40063                  ,41362                  ,57204                  ,62845                  ,62999                  
"  Advertising and related Services",21829                  ,22264                  ,24586                  ,25879                  ,26424                  ,32457                  ,32182                  ,32558                  ,31874                  ,32396                  ,31513                  
"  Other",99524                  ,101584                 ,107335                 ,113388                 ,116743                 ,160337                 ,157578                 ,161821                 ,173444                 ,185095                 ,205591                 
"Other industries",877582                 ,905500                 ,959922                 ,974438                 ,956910                 ,1280261               ,1224684               ,1205591               ,1316087               ,1381512               ,1523421               
"  Agriculture, forestry, fishing, and hunting",9338                   ,2786                   ,9299                   ,10456                  ,11324                  ,13643                  ,15235                  ,13245                  ,14886                  ,12911                  ,18380                  
"  Construction",73085                  ,72089                  ,79442                  ,79365                  ,87008                  ,125042                 ,124758                 ,134883                 ,143325                 ,160111                 ,187019                 
"  Utilities",173914                 ,171558                 ,187044                 ,179090                 ,183166                 ,235197                 ,179620                 ,173177                 ,212620                 ,182975                 ,206538                 
"  Transportation and warehousing",234784                 ,256729                 ,276721                 ,298692                 ,260760                 ,381837                 ,337856                 ,331541                 ,350207                 ,388634                 ,405058                 
"  Real estate and rental and leasing",64186                  ,65351                  ,70112                  ,74663                  ,78928                  ,106483                 ,112392                 ,119183                 ,128929                 ,142189                 ,148572                 
"  Management of nonbank companies and enterprises",1034                   ,911                     ,1393                   ,1610                   ,1858                   ,1590                   ,667                     ,658                     ,398                     ,374                     ,603                     
"  Administration, support, and waste management",126223                 ,134890                 ,131105                 ,116580                 ,121353                 ,149735                 ,152464                 ,135149                 ,153029                 ,161573                 ,166679                 
"  Health care and social assistance",55282                  ,56260                  ,54432                  ,64026                  ,60625                  ,90770                  ,125352                 ,123582                 ,128574                 ,138538                 ,182257                 
"  Accommodation and food services",87018                  ,89275                  ,93155                  ,93427                  ,95663                  ,112058                 ,119595                 ,110730                 ,115641                 ,116329                 ,123775                 
"  Miscellaneous services",52718                  ,55650                  ,57220                  ,56529                  ,56227                  ,63906                  ,56745                  ,63442                  ,68478                  ,77878                  ,84539                  
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"• The data appear on another line in this table."
"• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"• The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> A nonzero value that rounds to zero."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Source: U.S. Bureau of Economic Analysis"
"Data users should be aware that the increase in most U.S. MNE activities from 2013 to 2014 appears to largely reflect the improved coverage of these activities in the 2014 Benchmark Survey of U.S. Direct Investment Abroad.  For more information see <a href=""http://www.bea.gov/international/pdf/usdia_2014p/USDIA 14-P Coverage Improvements.pdf"">Improvements in Coverage.</a>"
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
