"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Value Added (Gross Product)" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","Value Added","Value Added","Value Added","Value Added","Value Added","Value Added","Value Added","Value Added","Value Added","Value Added","Value Added"
"  Miscellaneous manufacturing",37663                  ,45325                  ,50401                  ,50771                  ,52310                  ,60155                  ,64431                  ,72945                  ,76069                  ,80249                  ,78751                  
"Wholesale trade",124433                 ,142599                 ,160457                 ,166031                 ,194070                 ,246054                 ,247825                 ,239201                 ,264592                 ,241093                 ,273354                 
"  Professional and commercial equipment and supplies",9940                   ,13041                  ,14063                  ,15317                  ,17608                  ,18404                  ,17827                  ,18142                  ,18616                  ,17872                  ,15233                  
"  Petroleum and petroleum products",5892                   ,5179                   ,7641                   ,8139                   ,8091                   ,9972                   ,13347                  ,13126                  ,31300                  ,34746                  ,31489                  
"  Drugs and druggists' sundries",14514                  ,18854                  ,21250                  ,14778                  ,32236                  ,37735                  ,37729                  ,25030                  ,26142                  ,15572                  ,17995                  
"  Other",94087                  ,105524                 ,117502                 ,127796                 ,136134                 ,179943                 ,178922                 ,182903                 ,188535                 ,172902                 ,208636                 
"Retail trade",238585                 ,257162                 ,265377                 ,266195                 ,279975                 ,341574                 ,356228                 ,384197                 ,383360                 ,390887                 ,382190                 
"  General merchandise stores",113033                 ,122004                 ,125762                 ,120154                 ,120648                 ,132644                 ,147021                 ,145362                 ,143511                 ,149904                 ,136623                 
"  Clothing and clothing accessories stores",25886                  ,32107                  ,31340                  ,34274                  ,36914                  ,42071                  ,39532                  ,42511                  ,42712                  ,41977                  ,41978                  
"  Other",99666                  ,103051                 ,108274                 ,111766                 ,122413                 ,166859                 ,169675                 ,196324                 ,197137                 ,199006                 ,203589                 
"Information",287628                 ,333154                 ,351739                 ,377949                 ,417999                 ,447912                 ,479164                 ,476727                 ,460848                 ,519226                 ,508165                 
"  Publishing industries",58165                  ,72406                  ,78921                  ,81872                  ,86514                  ,82717                  ,87547                  ,91242                  ,69486                  ,89313                  ,105748                 
"  Motion picture and sound recording industries",4369                   ,7824                   ,7185                   ,7185                   ,6534                   ,7032                   ,4182                   ,7006                   ,8573                   ,10017                  ,9859                   
"  Broadcasting (except internet) and telecommunications",181647                 ,203463                 ,213312                 ,222062                 ,259530                 ,268337                 ,300942                 ,269119                 ,268519                 ,284613                 ,253174                 
"    Broadcasting (except internet)",39219                  ,41109                  ,75633                  ,78393                  ,85992                  ,88611                  ,98653                  ,62618                  ,60781                  ,61160                  ,58752                  
"    Telecommunications",142428                 ,162354                 ,137679                 ,143669                 ,173538                 ,179725                 ,202289                 ,206502                 ,207738                 ,223453                 ,194422                 
"  Data processing, hosting, and related services",13639                  ,12781                  ,13622                  ,16253                  ,18343                  ,23471                  ,25290                  ,34641                  ,36199                  ,30455                  ,23765                  
"  Other information services",29809                  ,36681                  ,38698                  ,50578                  ,47077                  ,66356                  ,61204                  ,74718                  ,78071                  ,104829                 ,115619                 
"Finance and insurance",260120                 ,356980                 ,356920                 ,397255                 ,499910                 ,484759                 ,552740                 ,504820                 ,503504                 ,558052                 ,564079                 
"  Depository credit intermediation (banking)",104434                 ,138957                 ,158792                 ,184876                 ,213677                 ,189024                 ,204425                 ,195402                 ,198531                 ,217772                 ,218488                 
"  Finance, except depository institutions",88285                  ,133863                 ,121413                 ,129123                 ,171455                 ,180387                 ,207265                 ,178021                 ,185803                 ,203949                 ,193652                 
"  Insurance carriers and related activities",67402                  ,84160                  ,76715                  ,83255                  ,114779                 ,115348                 ,141049                 ,131398                 ,119170                 ,136330                 ,151939                 
"Professional, scientific, and technical services",177549                 ,196294                 ,198086                 ,202793                 ,204710                 ,246171                 ,247137                 ,243195                 ,237060                 ,258085                 ,277639                 
"  Architectural, engineering, and related services",23604                  ,24380                  ,21265                  ,21864                  ,19712                  ,20728                  ,22738                  ,22932                  ,21287                  ,26965                  ,27547                  
"  Computer systems design and related services",67047                  ,79834                  ,82975                  ,82585                  ,84052                  ,84652                  ,80197                  ,70013                  ,59865                  ,65489                  ,72908                  
"  Management, scientific, and technical consulting",11044                  ,10295                  ,8218                   ,8209                   ,9286                   ,21747                  ,25742                  ,25802                  ,32527                  ,35359                  ,36613                  
"  Advertising and related Services",12035                  ,13471                  ,14616                  ,15711                  ,16519                  ,17419                  ,17153                  ,20007                  ,17363                  ,17665                  ,18124                  
"  Other",63819                  ,68315                  ,71012                  ,74424                  ,75141                  ,101624                 ,101306                 ,104442                 ,106019                 ,112606                 ,122447                 
"Other industries",397183                 ,440377                 ,455433                 ,471873                 ,486105                 ,594795                 ,609257                 ,616317                 ,650786                 ,652572                 ,715180                 
"  Agriculture, forestry, fishing, and hunting",2192                   ,1047                   ,4464                   ,4751                   ,5829                   ,5596                   ,6175                   ,5669                   ,5814                   ,3435                   ,4463                   
"  Construction",22088                  ,24089                  ,25105                  ,23721                  ,25466                  ,34436                  ,38735                  ,44653                  ,47144                  ,44767                  ,47861                  
"  Utilities",61955                  ,60705                  ,60023                  ,61361                  ,60773                  ,84838                  ,71461                  ,70402                  ,77077                  ,75566                  ,94196                  
"  Transportation and warehousing",106120                 ,115783                 ,128617                 ,136776                 ,138638                 ,185751                 ,176789                 ,180421                 ,195807                 ,201836                 ,200867                 
"  Real estate and rental and leasing",34487                  ,35073                  ,40190                  ,45789                  ,48710                  ,61896                  ,67582                  ,69938                  ,64688                  ,65214                  ,77070                  
"  Management of nonbank companies and enterprises",-1271                  ,11663                  ,4829                   ,8753                   ,16063                  ,4559                   ,6028                   ,6070                   ,6533                   ,6492                   ,4288                   
"  Administration, support, and waste management",59080                  ,72839                  ,76974                  ,68062                  ,69391                  ,73437                  ,78141                  ,68134                  ,76064                  ,77377                  ,80060                  
"  Health care and social assistance",31826                  ,35082                  ,35196                  ,40825                  ,39168                  ,56746                  ,77812                  ,77272                  ,77507                  ,84270                  ,106282                 
"  Accommodation and food services",52654                  ,53632                  ,52188                  ,53193                  ,52668                  ,58164                  ,61545                  ,66854                  ,65171                  ,62176                  ,64903                  
"  Miscellaneous services",28052                  ,30464                  ,27848                  ,28641                  ,29399                  ,29371                  ,24989                  ,26902                  ,34980                  ,31438                  ,35192                  
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"• The data appear on another line in this table."
"• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"• The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> A nonzero value that rounds to zero."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Source: U.S. Bureau of Economic Analysis"
"Data users should be aware that the increase in most U.S. MNE activities from 2013 to 2014 appears to largely reflect the improved coverage of these activities in the 2014 Benchmark Survey of U.S. Direct Investment Abroad.  For more information see <a href=""http://www.bea.gov/international/pdf/usdia_2014p/USDIA 14-P Coverage Improvements.pdf"">Improvements in Coverage.</a>"
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
