"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Total Assets" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (All Industries) (NAICS) (Millions of Dollars) <br/>"
"","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets"
"      Nondepository credit intermediation, except branches and agencies",1720463               ,2305355               ,2322930               ,2258141               ,2257977               ,2700140               ,2714794               ,2802583               ,2883215               ,2981591               ,3125378               
"      Activities related to credit intermediation",93001                  ,94961                  ,99627                  ,104048                 ,99849                  ,126001                 ,126754                 ,196330                 ,237999                 ,229934                 ,317354                 
"    Funds, trusts, and other financial vehicles",13510                  ,18026                  ,21993                  ,22149                  ,32905                  ,205112                 ,202639                 ,190383                 ,205083                 ,206659                 ,250141                 
"  Insurance carriers and related activities",5029639               ,5206369               ,5296614               ,5567089               ,5543758               ,6769270               ,6944641               ,7120143               ,7146660               ,7005877               ,8039010               
"    Insurance carriers, except direct life insurance carriers",2357691               ,2511209               ,2484371               ,2575251               ,2497811               ,2823689               ,2657160               ,2777032               ,2821180               ,2727230               ,2995299               
"    Direct life insurance carriers",2604940               ,2622760               ,2742218               ,2918328               ,2967700               ,3861099               ,4202479               ,4253116               ,4230080               ,4178829               ,4903104               
"    Agencies, brokerages, and other insurance related activities",67008                  ,72399                  ,70025                  ,73510                  ,78246                  ,84482                  ,85002                  ,89995                  ,95400                  ,99818                  ,140607                 
"Professional, scientific, and technical services",459879                 ,488374                 ,501978                 ,525647                 ,556787                 ,704364                 ,744029                 ,741516                 ,848499                 ,872260                 ,981354                 
"  Architectural, engineering, and related services",39407                  ,43445                  ,50458                  ,52934                  ,50658                  ,56894                  ,64756                  ,65616                  ,57443                  ,70629                  ,71878                  
"  Computer systems design and related services",216314                 ,239034                 ,247487                 ,258297                 ,280112                 ,342494                 ,364818                 ,334073                 ,391759                 ,389030                 ,444323                 
"  Management, scientific, and technical consulting",26432                  ,26454                  ,19845                  ,24164                  ,25322                  ,49067                  ,67007                  ,71571                  ,129640                 ,140032                 ,158513                 
"  Advertising and related Services",74248                  ,75212                  ,65828                  ,71262                  ,73368                  ,77631                  ,75547                  ,77698                  ,78364                  ,86082                  ,85162                  
"  Other",103478                 ,104229                 ,118360                 ,118990                 ,127328                 ,178279                 ,171902                 ,192558                 ,191293                 ,186487                 ,221479                 
"    Legal services",18379                  ,17745                  ,17915                  ,19651                  ,21845                  ,23704                  ,25238                  ,26223                  ,27825                  ,26139                  ,29860                  
"    Accounting, tax preparation, bookkeeping, and payroll services",49959                  ,50286                  ,58642                  ,56200                  ,57833                  ,72471                  ,75079                  ,86535                  ,80606                  ,75714                  ,85710                  
"    Specialized design services","(D)","(D)","(D)","(D)","(D)","(D)",1416                   ,1366                   ,1440                   ,1372                   ,992                     
"    Scientific research and development services",12977                  ,13421                  ,16465                  ,17224                  ,19996                  ,22014                  ,21811                  ,34073                  ,40939                  ,41674                  ,48254                  
"    Other professional, scientific, and technical services","(D)","(D)","(D)","(D)","(D)","(D)",48357                  ,44362                  ,40482                  ,41588                  ,56663                  
"Other industries",1767710               ,1806100               ,1921200               ,2069923               ,2138044               ,2760274               ,2723205               ,2790791               ,2882710               ,2997551               ,3218409               
"  Agriculture, forestry, fishing, and hunting",6378                   ,3847                   ,20141                  ,20764                  ,22341                  ,29411                  ,38538                  ,35669                  ,38722                  ,22514                  ,28392                  
"    Crop production",611                     ,838                     ,"(D)","(D)","(D)","(D)",32468                  ,"(D)","(D)","(D)",12561                  
"    Animal production","(D)","(D)","(D)","(D)","(D)",3290                   ,3657                   ,3696                   ,3944                   ,4348                   ,6147                   
"    Forestry and logging","(D)","(D)","(D)","(D)","(D)",1778                   ,1611                   ,1286                   ,"(D)","(D)","(D)"
"    Fishing, hunting, and trapping",0                       ,0                       ,0                       ,0                       ,0                       ,"(D)",714                     ,"(D)","(D)","(D)","(D)"
"    Support activities for agriculture and forestry",0                       ,0                       ,0                       ,0                       ,0                       ,87                      ,87                      ,88                      ,89                      ,"(D)",6556                   
"  Construction",48173                  ,48636                  ,59082                  ,65171                  ,74335                  ,116929                 ,120976                 ,128012                 ,133226                 ,137418                 ,154740                 
"    Construction of buildings",17323                  ,19174                  ,20624                  ,22807                  ,24769                  ,33325                  ,35638                  ,37754                  ,42534                  ,53676                  ,57009                  
"    Heavy and civil engineering construction",24838                  ,23523                  ,31662                  ,34193                  ,40906                  ,57665                  ,58959                  ,67437                  ,66494                  ,65722                  ,69475                  
"    Specialty trade contractors",6012                   ,5939                   ,6795                   ,8170                   ,8660                   ,25939                  ,26379                  ,22821                  ,24199                  ,18021                  ,28256                  
"  Utilities",470201                 ,463435                 ,499327                 ,559531                 ,551225                 ,787225                 ,700026                 ,726861                 ,736869                 ,745447                 ,820184                 
"    Electric power generation, transmission, and distribution",387778                 ,375582                 ,393604                 ,447951                 ,433021                 ,635060                 ,569802                 ,588175                 ,589697                 ,584200                 ,641888                 
"    Natural gas distribution","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"    Water, sewage, and other systems","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Transportation and warehousing",416760                 ,435623                 ,460659                 ,515959                 ,467052                 ,599778                 ,554705                 ,571243                 ,567532                 ,611256                 ,626336                 
"    Air transportation",75071                  ,116962                 ,118916                 ,123013                 ,97097                  ,162719                 ,167845                 ,172163                 ,175344                 ,191758                 ,198201                 
"    Rail transportation",153102                 ,120744                 ,129426                 ,102517                 ,108490                 ,147803                 ,120006                 ,122927                 ,127123                 ,131690                 ,138918                 
"    Water transportation",18243                  ,19005                  ,20621                  ,17518                  ,17960                  ,17671                  ,17630                  ,14347                  ,13350                  ,12853                  ,13909                  
"      Petroleum tanker operations","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"      Other water transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"    Truck transportation",26133                  ,25951                  ,27731                  ,28777                  ,31800                  ,39920                  ,46732                  ,46894                  ,53782                  ,58033                  ,54850                  
"    Transit and ground passenger transportation",7351                   ,7186                   ,7280                   ,7521                   ,7666                   ,7352                   ,8065                   ,7287                   ,7202                   ,7219                   ,"(D)"
"    Pipeline transportation",89366                  ,98903                  ,108081                 ,158458                 ,123134                 ,138483                 ,"(D)","(D)","(D)","(D)","(D)"
"      Pipeline transportation of crude oil, refined petroleum products, and natural gas",89366                  ,98903                  ,108081                 ,158458                 ,123134                 ,"(D)","(D)","(D)","(D)","(D)","(D)"
"      Other pipeline transportation",0                       ,0                       ,0                       ,0                       ,0                       ,"(D)","(D)","(D)","(D)","(D)",0                       
"    Scenic and sightseeing transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"    Support activities for transportation","(D)","(D)","(D)","(D)","(D)","(D)",25172                  ,25636                  ,25872                  ,26587                  ,28424                  
"    Couriers and messengers","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"    Warehousing and storage facilities",1431                   ,1576                   ,1743                   ,1966                   ,1986                   ,6471                   ,6634                   ,6674                   ,10149                  ,15924                  ,16452                  
"      Petroleum storage for hire","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"      Other warehousing and storage","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Real estate and rental and leasing",194572                 ,195306                 ,204325                 ,230695                 ,261411                 ,403380                 ,448459                 ,464493                 ,483926                 ,487556                 ,486359                 
"    Real estate",86842                  ,90892                  ,96149                  ,106851                 ,101951                 ,214787                 ,227789                 ,233977                 ,245550                 ,271770                 ,283116                 
"    Rental and leasing (except real estate)",107729                 ,104414                 ,108176                 ,123843                 ,159460                 ,188592                 ,220670                 ,230516                 ,238377                 ,215786                 ,203243                 
"      Automotive equipment rental and leasing",49576                  ,51256                  ,55328                  ,59522                  ,67433                  ,73761                  ,77461                  ,77364                  ,76901                  ,81542                  ,93827                  
"      Other rental and leasing services",18706                  ,18725                  ,19080                  ,26836                  ,33416                  ,52384                  ,82297                  ,83622                  ,80969                  ,81772                  ,56857                  
"      Lessors of nonfinancial intangible assets (except copyrighted works)",39448                  ,34434                  ,33769                  ,37485                  ,58611                  ,62447                  ,60912                  ,69530                  ,80506                  ,52472                  ,52559                  
"  Management of nonbank companies and enterprises",153262                 ,171518                 ,171058                 ,184222                 ,224333                 ,192352                 ,188593                 ,203906                 ,198880                 ,207560                 ,207586                 
"    Holding companies, except bank holding companies",152481                 ,170728                 ,168086                 ,180909                 ,"(D)","(D)",188466                 ,203781                 ,198653                 ,207430                 ,206736                 
"    Corporate, subsidiary, and regional management offices",781                     ,791                     ,2971                   ,3314                   ,"(D)","(D)",127                     ,125                     ,228                     ,130                     ,850                     
"  Administration, support, and waste management",154057                 ,159863                 ,170966                 ,155740                 ,177112                 ,206428                 ,197788                 ,193391                 ,226313                 ,226632                 ,233433                 
"    Administrative and support services",124406                 ,130235                 ,139585                 ,123823                 ,143316                 ,151289                 ,135586                 ,129385                 ,160562                 ,160915                 ,165178                 
"      Office administrative services","(D)","(D)","(D)","(D)","(D)",24239                  ,8659                   ,"(D)",40626                  ,40713                  ,"(D)"
"      Facilities support services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",8539                   
"      Employment services",9572                   ,9485                   ,10719                  ,10951                  ,11295                  ,16853                  ,19781                  ,18407                  ,21771                  ,22091                  ,23656                  
"      Business support services",40717                  ,47228                  ,52400                  ,31955                  ,37505                  ,42430                  ,42166                  ,26796                  ,32542                  ,29495                  ,28503                  
"      Travel arrangement and reservation services",13987                  ,14040                  ,19238                  ,23158                  ,32272                  ,31728                  ,26625                  ,29027                  ,34302                  ,34271                  ,46188                  
"      Investigation and security services",22225                  ,19918                  ,20479                  ,22133                  ,27505                  ,21294                  ,22455                  ,13044                  ,13436                  ,13570                  ,"(D)"
"      Services to buildings and dwellings","(D)","(D)","(D)",7702                   ,7312                   ,7352                   ,7461                   ,7925                   ,8258                   ,8292                   ,7653                   
"      Other support services",3660                   ,3657                   ,4267                   ,4422                   ,4792                   ,"(D)","(D)",5064                   ,"(D)","(D)",12158                  
"    Waste management and remediation services",29651                  ,29628                  ,31381                  ,31917                  ,33797                  ,55139                  ,62202                  ,64007                  ,65752                  ,65717                  ,68255                  
"  Health care and social assistance",54726                  ,56680                  ,60664                  ,65883                  ,81743                  ,111330                 ,167147                 ,154380                 ,160874                 ,186262                 ,247285                 
"    Ambulatory health care services",16402                  ,17707                  ,18718                  ,17076                  ,17067                  ,23694                  ,31353                  ,32054                  ,34522                  ,"(D)",44284                  
"    Hospitals","(D)","(D)","(D)","(D)","(D)",57337                  ,82655                  ,88027                  ,94526                  ,95858                  ,144442                 
"    Nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)",30114                  ,52936                  ,34084                  ,"(D)",56124                  ,58308                  
"    Social assistance","(D)","(D)","(D)","(D)","(D)",185                     ,202                     ,214                     ,"(D)","(D)",250                     
"  Accommodation and food services",167018                 ,167850                 ,171888                 ,170199                 ,165866                 ,181896                 ,202062                 ,186482                 ,179803                 ,184691                 ,192532                 
"    Accommodation",103655                 ,100260                 ,99003                  ,99937                  ,91042                  ,103991                 ,114550                 ,99018                  ,73332                  ,74744                  ,78688                  
"    Food services and drinking places",63363                  ,67590                  ,72885                  ,70262                  ,74823                  ,77905                  ,87513                  ,87464                  ,106472                 ,109947                 ,113844                 
"  Miscellaneous services",102564                 ,103342                 ,103091                 ,101761                 ,112627                 ,131545                 ,104910                 ,126354                 ,156562                 ,188215                 ,221562                 
"    Educational services",18559                  ,20833                  ,19931                  ,20449                  ,21914                  ,19885                  ,18906                  ,19708                  ,19736                  ,19453                  ,20456                  
"    Arts, entertainment, and recreation",63473                  ,61833                  ,61725                  ,58250                  ,67060                  ,85768                  ,60445                  ,78455                  ,103018                 ,138371                 ,168540                 
"      Performing arts, spectator sports, and related industries",5583                   ,7832                   ,7614                   ,7514                   ,8787                   ,10545                  ,"(D)","(D)","(D)","(D)","(D)"
"      Museums, historical sites, and similar institutions","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"      Amusement, gambling, and recreation industries","(D)","(D)","(D)","(D)","(D)","(D)",49966                  ,67452                  ,92320                  ,127537                 ,155027                 
"    Other services (except public administration and private households)",20532                  ,20676                  ,21435                  ,23062                  ,23653                  ,25892                  ,25560                  ,28191                  ,33807                  ,30390                  ,32565                  
"      Repair and maintenance",3231                   ,3292                   ,3291                   ,3472                   ,2768                   ,4357                   ,4527                   ,6837                   ,6834                   ,6532                   ,6995                   
"      Personal and laundry services",17301                  ,17384                  ,18143                  ,19590                  ,20885                  ,21535                  ,21032                  ,21354                  ,26973                  ,23858                  ,25570                  
"      Nonbusiness Entities, Except Government",0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"• The data appear on another line in this table."
"• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"• The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> A nonzero value that rounds to zero."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Source: U.S. Bureau of Economic Analysis"
"Data users should be aware that the increase in most U.S. MNE activities from 2013 to 2014 appears to largely reflect the improved coverage of these activities in the 2014 Benchmark Survey of U.S. Direct Investment Abroad.  For more information see <a href=""http://www.bea.gov/international/pdf/usdia_2014p/USDIA 14-P Coverage Improvements.pdf"">Improvements in Coverage.</a>"
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
