"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Owners Equity" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","Owners Equity","Owners Equity","Owners Equity","Owners Equity","Owners Equity","Owners Equity","Owners Equity","Owners Equity","Owners Equity","Owners Equity","Owners Equity"
"  Miscellaneous manufacturing",109103                 ,117370                 ,124138                 ,113227                 ,112305                 ,135073                 ,176529                 ,196157                 ,200289                 ,206367                 ,206068                 
"Wholesale trade",342198                 ,411031                 ,399870                 ,431583                 ,501194                 ,572288                 ,595845                 ,615322                 ,795618                 ,801096                 ,847049                 
"  Professional and commercial equipment and supplies",21456                  ,25672                  ,26666                  ,28043                  ,29837                  ,31274                  ,31103                  ,27586                  ,30226                  ,38480                  ,34551                  
"  Petroleum and petroleum products",15444                  ,17726                  ,22472                  ,26348                  ,26603                  ,28674                  ,40196                  ,42744                  ,118703                 ,126241                 ,119136                 
"  Drugs and druggists' sundries",42940                  ,40625                  ,39768                  ,34353                  ,52274                  ,54378                  ,53647                  ,43395                  ,47390                  ,49689                  ,47684                  
"  Other",262357                 ,327008                 ,310965                 ,342839                 ,392481                 ,457963                 ,470899                 ,501598                 ,599299                 ,586686                 ,645678                 
"Retail trade",226404                 ,241154                 ,238116                 ,249167                 ,263528                 ,332853                 ,312342                 ,344295                 ,359096                 ,384392                 ,392517                 
"  General merchandise stores",100299                 ,104530                 ,104544                 ,109640                 ,106848                 ,120487                 ,117856                 ,115528                 ,117216                 ,116375                 ,122477                 
"  Clothing and clothing accessories stores",24245                  ,28745                  ,26617                  ,26886                  ,30275                  ,33415                  ,32026                  ,32933                  ,33457                  ,34322                  ,33628                  
"  Other",101860                 ,107878                 ,106956                 ,112641                 ,126406                 ,178952                 ,162460                 ,195834                 ,208423                 ,233695                 ,236411                 
"Information",583465                 ,624101                 ,673146                 ,743735                 ,821449                 ,881160                 ,958990                 ,1064876               ,1130476               ,1257895               ,1409936               
"  Publishing industries",110767                 ,123184                 ,141679                 ,159730                 ,191043                 ,215981                 ,220376                 ,227935                 ,229135                 ,246378                 ,313264                 
"  Motion picture and sound recording industries",18370                  ,18695                  ,20188                  ,20842                  ,22701                  ,33889                  ,34817                  ,42694                  ,39386                  ,37863                  ,31785                  
"  Broadcasting (except internet) and telecommunications",366854                 ,394069                 ,398674                 ,395707                 ,416744                 ,361543                 ,411405                 ,466582                 ,520980                 ,597080                 ,623011                 
"    Broadcasting (except internet)",104642                 ,116254                 ,166079                 ,163861                 ,168180                 ,160951                 ,158930                 ,104013                 ,127370                 ,136744                 ,163593                 
"    Telecommunications",262212                 ,277815                 ,232595                 ,231846                 ,248564                 ,200592                 ,252475                 ,362570                 ,393610                 ,460336                 ,459418                 
"  Data processing, hosting, and related services",18279                  ,14575                  ,13569                  ,35218                  ,35780                  ,43971                  ,41543                  ,45047                  ,53810                  ,53281                  ,73217                  
"  Other information services",69196                  ,73578                  ,99036                  ,132237                 ,155180                 ,225776                 ,250849                 ,282617                 ,287166                 ,323293                 ,368659                 
"Finance and insurance",2046338               ,2238846               ,2381208               ,2499669               ,2550279               ,3347982               ,3425079               ,3452197               ,3513365               ,3566192               ,3928866               
"  Depository credit intermediation (banking)",795471                 ,863367                 ,921442                 ,1000167               ,1015455               ,1077732               ,1132816               ,1148548               ,1152189               ,1182005               ,1219520               
"  Finance, except depository institutions",558593                 ,612059                 ,659187                 ,675652                 ,718774                 ,1288761               ,1309746               ,1320893               ,1308918               ,1365680               ,1474271               
"  Insurance carriers and related activities",692275                 ,763420                 ,800579                 ,823849                 ,816051                 ,981489                 ,982516                 ,982756                 ,1052258               ,1018507               ,1235075               
"Professional, scientific, and technical services",205148                 ,234990                 ,238571                 ,248313                 ,271129                 ,316661                 ,335849                 ,311167                 ,333280                 ,348382                 ,401787                 
"  Architectural, engineering, and related services",19713                  ,19921                  ,23370                  ,24190                  ,26259                  ,28276                  ,33825                  ,33396                  ,29684                  ,38138                  ,37769                  
"  Computer systems design and related services",89582                  ,117968                 ,129021                 ,131583                 ,146228                 ,163105                 ,171929                 ,140348                 ,143652                 ,136909                 ,161464                 
"  Management, scientific, and technical consulting",11744                  ,12877                  ,10996                  ,14173                  ,15097                  ,21988                  ,28801                  ,29899                  ,51847                  ,64309                  ,79121                  
"  Advertising and related Services",40106                  ,39582                  ,26223                  ,29202                  ,30897                  ,32450                  ,31477                  ,31748                  ,31637                  ,32232                  ,32495                  
"  Other",44003                  ,44642                  ,48961                  ,49166                  ,52648                  ,70843                  ,69817                  ,75776                  ,76461                  ,76794                  ,90939                  
"Other industries",613274                 ,659042                 ,660049                 ,708156                 ,788251                 ,979761                 ,933215                 ,944993                 ,1003057               ,1064007               ,1112183               
"  Agriculture, forestry, fishing, and hunting",1937                   ,2033                   ,14188                  ,14522                  ,15625                  ,12872                  ,16474                  ,12434                  ,15536                  ,10971                  ,14069                  
"  Construction",16543                  ,18180                  ,22017                  ,22920                  ,26965                  ,42401                  ,46217                  ,48192                  ,51518                  ,57518                  ,61794                  
"  Utilities",164669                 ,174463                 ,159819                 ,178572                 ,179210                 ,254459                 ,214698                 ,217553                 ,229441                 ,256174                 ,272575                 
"  Transportation and warehousing",117782                 ,114107                 ,118048                 ,137584                 ,157599                 ,175339                 ,174250                 ,168394                 ,177809                 ,185063                 ,184614                 
"  Real estate and rental and leasing",72043                  ,66327                  ,73142                  ,79391                  ,103021                 ,170609                 ,172385                 ,177325                 ,185432                 ,186973                 ,181241                 
"  Management of nonbank companies and enterprises",91174                  ,105538                 ,109581                 ,120622                 ,129946                 ,129383                 ,130529                 ,148710                 ,148442                 ,153239                 ,161273                 
"  Administration, support, and waste management",65328                  ,68276                  ,67948                  ,60513                  ,69703                  ,79555                  ,64386                  ,65998                  ,74186                  ,71508                  ,70051                  
"  Health care and social assistance",1348                   ,23219                  ,4042                   ,3678                   ,14574                  ,24507                  ,36595                  ,37725                  ,38540                  ,52195                  ,63499                  
"  Accommodation and food services",49213                  ,50765                  ,52597                  ,52311                  ,53126                  ,52714                  ,49322                  ,40357                  ,35878                  ,28900                  ,39887                  
"  Miscellaneous services",33237                  ,36136                  ,38668                  ,38043                  ,38481                  ,37921                  ,28361                  ,28306                  ,46275                  ,61464                  ,63181                  
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"• The data appear on another line in this table."
"• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"• The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> A nonzero value that rounds to zero."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Source: U.S. Bureau of Economic Analysis"
"Data users should be aware that the increase in most U.S. MNE activities from 2013 to 2014 appears to largely reflect the improved coverage of these activities in the 2014 Benchmark Survey of U.S. Direct Investment Abroad.  For more information see <a href=""http://www.bea.gov/international/pdf/usdia_2014p/USDIA 14-P Coverage Improvements.pdf"">Improvements in Coverage.</a>"
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
