"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Liabilities" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","Liabilities","Liabilities","Liabilities","Liabilities","Liabilities","Liabilities","Liabilities","Liabilities","Liabilities","Liabilities","Liabilities"
"  Miscellaneous manufacturing",91916                  ,100463                 ,109390                 ,123802                 ,116328                 ,152912                 ,197084                 ,209567                 ,205129                 ,212804                 ,208132                 
"Wholesale trade",477568                 ,529799                 ,574286                 ,607638                 ,685914                 ,822160                 ,908905                 ,968436                 ,1169807               ,1123319               ,1232524               
"  Professional and commercial equipment and supplies",36160                  ,41271                  ,41374                  ,41444                  ,46676                  ,49513                  ,50037                  ,53597                  ,62900                  ,64516                  ,54155                  
"  Petroleum and petroleum products",27791                  ,32107                  ,41670                  ,38963                  ,44464                  ,43922                  ,76806                  ,81258                  ,202789                 ,198789                 ,190833                 
"  Drugs and druggists' sundries",66820                  ,66408                  ,68749                  ,58221                  ,76711                  ,109152                 ,128726                 ,113501                 ,122115                 ,119391                 ,137428                 
"  Other",346796                 ,390012                 ,422492                 ,469009                 ,518064                 ,619573                 ,653337                 ,720080                 ,782003                 ,740622                 ,850109                 
"Retail trade",289934                 ,313177                 ,329156                 ,340927                 ,396063                 ,523604                 ,565570                 ,622525                 ,642676                 ,740947                 ,797276                 
"  General merchandise stores",115971                 ,139372                 ,148105                 ,136600                 ,138782                 ,156146                 ,165298                 ,158401                 ,178085                 ,182882                 ,188770                 
"  Clothing and clothing accessories stores",22516                  ,28994                  ,32849                  ,39217                  ,41522                  ,53720                  ,55558                  ,53892                  ,55027                  ,58847                  ,71060                  
"  Other",151447                 ,144811                 ,148201                 ,165110                 ,215760                 ,313738                 ,344714                 ,410232                 ,409564                 ,499218                 ,537447                 
"Information",934280                 ,880556                 ,960695                 ,1040821               ,1133858               ,1364458               ,1496547               ,1648708               ,1727096               ,1784436               ,1886745               
"  Publishing industries",139555                 ,120610                 ,119043                 ,122660                 ,122026                 ,154355                 ,197167                 ,226941                 ,284672                 ,304284                 ,322247                 
"  Motion picture and sound recording industries",52729                  ,52193                  ,52418                  ,55652                  ,53957                  ,31669                  ,35011                  ,34090                  ,35200                  ,36416                  ,40965                  
"  Broadcasting (except internet) and telecommunications",619438                 ,584895                 ,663178                 ,704606                 ,785760                 ,952945                 ,1033785               ,1129122               ,1145941               ,1173477               ,1221270               
"    Broadcasting (except internet)",145033                 ,135274                 ,219086                 ,229310                 ,237300                 ,272369                 ,299805                 ,199211                 ,218117                 ,211937                 ,258318                 
"    Telecommunications",474405                 ,449621                 ,444092                 ,475296                 ,548460                 ,680576                 ,733981                 ,929911                 ,927825                 ,961541                 ,962952                 
"  Data processing, hosting, and related services",29652                  ,26368                  ,33163                  ,49530                  ,53363                  ,75174                  ,80750                  ,95429                  ,99217                  ,82419                  ,92593                  
"  Other information services",92906                  ,96489                  ,92892                  ,108374                 ,118752                 ,150315                 ,149833                 ,163126                 ,162065                 ,187840                 ,209670                 
"Finance and insurance",14205484              ,15407146              ,15696460              ,16456658              ,16862311              ,19279638              ,19242692              ,19357353              ,19841644              ,20770323              ,22641640              
"  Depository credit intermediation (banking)",5866293               ,6297574               ,6469004               ,6828823               ,7173601               ,7422012               ,7681313               ,7615725               ,8038068               ,8810267               ,9356198               
"  Finance, except depository institutions",4001827               ,4666622               ,4731420               ,4884595               ,4961003               ,6069846               ,5599254               ,5604241               ,5709174               ,5972686               ,6481507               
"  Insurance carriers and related activities",4337365               ,4442949               ,4496035               ,4743240               ,4727707               ,5787780               ,5962125               ,6137387               ,6094402               ,5987370               ,6803935               
"Professional, scientific, and technical services",254731                 ,253384                 ,263407                 ,277333                 ,285659                 ,387704                 ,408180                 ,430350                 ,515219                 ,523878                 ,579568                 
"  Architectural, engineering, and related services",19694                  ,23524                  ,27088                  ,28744                  ,24398                  ,28619                  ,30931                  ,32220                  ,27759                  ,32491                  ,34109                  
"  Computer systems design and related services",126733                 ,121066                 ,118467                 ,126714                 ,133883                 ,179389                 ,192889                 ,193725                 ,248107                 ,252121                 ,282860                 
"  Management, scientific, and technical consulting",14688                  ,13577                  ,8848                   ,9990                   ,10225                  ,27079                  ,38206                  ,41672                  ,77793                  ,75723                  ,79392                  
"  Advertising and related Services",34142                  ,35630                  ,39605                  ,42061                  ,42472                  ,45181                  ,44070                  ,45949                  ,46727                  ,53850                  ,52667                  
"  Other",59474                  ,59587                  ,69399                  ,69824                  ,74681                  ,107436                 ,102084                 ,116783                 ,114832                 ,109693                 ,130540                 
"Other industries",1154437               ,1147058               ,1261152               ,1361767               ,1349794               ,1780513               ,1789990               ,1845797               ,1879653               ,1933544               ,2106225               
"  Agriculture, forestry, fishing, and hunting",4441                   ,1814                   ,5953                   ,6242                   ,6716                   ,16539                  ,22064                  ,23234                  ,23186                  ,11542                  ,14323                  
"  Construction",31630                  ,30456                  ,37066                  ,42250                  ,47370                  ,74528                  ,74760                  ,79820                  ,81708                  ,79900                  ,92946                  
"  Utilities",305533                 ,288972                 ,339508                 ,380959                 ,372015                 ,532766                 ,485327                 ,509308                 ,507429                 ,489273                 ,547608                 
"  Transportation and warehousing",298978                 ,321516                 ,342611                 ,378375                 ,309453                 ,424438                 ,380456                 ,402849                 ,389723                 ,426193                 ,441722                 
"  Real estate and rental and leasing",122529                 ,128979                 ,131183                 ,151303                 ,158389                 ,232771                 ,276074                 ,287168                 ,298494                 ,300582                 ,305119                 
"  Management of nonbank companies and enterprises",62088                  ,65980                  ,61477                  ,63601                  ,94387                  ,62970                  ,58064                  ,55196                  ,50438                  ,54321                  ,46313                  
"  Administration, support, and waste management",88729                  ,91587                  ,103018                 ,95227                  ,107409                 ,126873                 ,133403                 ,127394                 ,152127                 ,155123                 ,163382                 
"  Health care and social assistance",53378                  ,33461                  ,56622                  ,62204                  ,67168                  ,86823                  ,130552                 ,116656                 ,122334                 ,134068                 ,183786                 
"  Accommodation and food services",117805                 ,117085                 ,119291                 ,117888                 ,112740                 ,129182                 ,152740                 ,146126                 ,143926                 ,155791                 ,152645                 
"  Miscellaneous services",69327                  ,67206                  ,64423                  ,63718                  ,74145                  ,93624                  ,76549                  ,98048                  ,110287                 ,126751                 ,158381                 
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"• The data appear on another line in this table."
"• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"• The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> A nonzero value that rounds to zero."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Source: U.S. Bureau of Economic Analysis"
"Data users should be aware that the increase in most U.S. MNE activities from 2013 to 2014 appears to largely reflect the improved coverage of these activities in the 2014 Benchmark Survey of U.S. Direct Investment Abroad.  For more information see <a href=""http://www.bea.gov/international/pdf/usdia_2014p/USDIA 14-P Coverage Improvements.pdf"">Improvements in Coverage.</a>"
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
